"","name","brewery","rating","style"
"48","Double Galaxy","Hill Farmstead Brewery",100,"American Double / Imperial IPA"
"49","Haze","Tree House Brewing Company",100,"American Double / Imperial IPA"
"5","Hunahpu's Imperial Stout - Double Barrel Aged","Cigar City Brewing",100,"American Double / Imperial Stout"
"50","Cantillon Fou' Foune","Brasserie Cantillon",100,"Lambic - Fruit"
"51","The Rusty Nail","Fremont Brewing Company",100,"American Double / Imperial Stout"
"52","Zombie Dust","3 Floyds Brewing Co.",100,"American Pale Ale (APA)"
"53","In Perpetuity","Tree House Brewing Company",100,"American IPA"
"54","Aaron","Hill Farmstead Brewery",100,"English Barleywine"
"55","Trademark Dispute: Hazelnut","Peg's Cantina &amp; Brew Pub",100,"American Double / Imperial Stout"
"56","Duck Duck Gooze","The Lost Abbey",100,"Gueuze"
"57","Atrial Rubicite","Jester King Brewery",100,"American Wild Ale"
"58","Mexican Brunch","Kane Brewing Company",100,"American Porter"
"59","Beer Geek Vanilla Shake (Bourbon Edition)","Mikkeller ApS",100,"American Double / Imperial Stout"
"6","Pliny The Younger","Russian River Brewing Company",100,"American Double / Imperial IPA"
"60","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company",100,"American Strong Ale"
"61","Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company",100,"American Pale Ale (APA)"
"62","Swish","Bissell Brothers Brewing Co.",100,"American Double / Imperial IPA"
"63","Evil Twin Double Barrel Jesus","Evil Twin Brewing",100,"American Double / Imperial Stout"
"64","Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company",100,"English Barleywine"
"65","Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company",100,"American Pale Ale (APA)"
"66","Drie Fonteinen Zenne Y Frontera","Brouwerij 3 Fonteinen",100,"Lambic - Unblended"
"67","BDCS","Ozark Beer Co.",100,"American Double / Imperial Stout"
"68","Parabajava","Firestone Walker Brewing Co.",100,"Russian Imperial Stout"
"69","Pugachev Royale","Hangar 24 Brewery",100,"Russian Imperial Stout"
"7","King JJJuliusss","Tree House Brewing Company",100,"American Double / Imperial IPA"
"70","Hunahpu's Imperial Stout","Cigar City Brewing",100,"American Double / Imperial Stout"
"71","Triple Shot","Tree House Brewing Company",100,"American Double / Imperial Stout"
"72","Double Dry Hopped Double Mosaic Dream","Other Half Brewing Co.",100,"American Double / Imperial IPA"
"73","Double Citra","Hill Farmstead Brewery",100,"American Double / Imperial IPA"
"74","The Broken Truck","de Garde Brewing",100,"American Wild Ale"
"75","Miami Madness","J. Wakefield Brewing",100,"Berliner Weissbier"
"76","Bourbon County Brand Stout","Goose Island Beer Co.",100,"American Double / Imperial Stout"
"77","Westly","Sante Adairius Rustic Ales",100,"American Wild Ale"
"78","Notorious Triple IPA","Boneyard Beer Company",100,"American Double / Imperial IPA"
"79","Supplication","Russian River Brewing Company",99,"American Wild Ale"
"8","Barrel-Aged Abraxas","Perennial Artisan Ales",100,"American Double / Imperial Stout"
"80","Bell's Black Note Stout","Bell's Brewery, Inc.",99,"American Double / Imperial Stout"
"81","Cutting Tiles (Mosaic)","Trillium Brewing Company",99,"American Double / Imperial IPA"
"82","Caffè Americano","Cigar City Brewing",99,"American Double / Imperial Stout"
"83","Bourbon County Brand Barleywine Ale","Goose Island Beer Co.",99,"English Barleywine"
"84","Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company",99,"Old Ale"
"85","Fuzzy Baby Ducks IPA","New England Brewing Co.",99,"American IPA"
"86","Master Of Karate","Aslin Beer Company",99,"American Double / Imperial IPA"
"87","Bourbon Barrel Aged Dark Lord Imperial Stout","3 Floyds Brewing Co.",99,"Russian Imperial Stout"
"88","Saison Du Fermier","Side Project Brewing",99,"Saison / Farmhouse Ale"
"89","Cantillon Blåbær Lambik","Brasserie Cantillon",99,"Lambic - Fruit"
"9","Heady Topper","The Alchemist Brewery and Visitors Center",100,"American Double / Imperial IPA"
"90","Wide Awake It's Morning","Funky Buddha Brewery",99,"American Porter"
"91","Society &amp; Solitude #5","Hill Farmstead Brewery",99,"American Double / Imperial IPA"
"92","Sosus","Toppling Goliath Brewing Company",99,"American Double / Imperial IPA"
"93","Keene Idea","Alpine Beer Company",99,"American Double / Imperial IPA"
"94","The Abyss","Deschutes Brewery",99,"American Double / Imperial Stout"
"95","Drie Fonteinen Oude Geuze Vintage","Brouwerij 3 Fonteinen",99,"Gueuze"
"96","The Peach","de Garde Brewing",99,"American Wild Ale"
"97","Clover","Hill Farmstead Brewery",99,"Saison / Farmhouse Ale"
"98","Bomb!","Prairie Artisan Ales",99,"American Double / Imperial Stout"
"99","Pirate Bomb!","Prairie Artisan Ales",99,"American Double / Imperial Stout"
